id,img,x1,y1,x2,y2,confidence,feature_id,feature_type,camera_heading,u,v,photo_wkt,sign_wkt
VID_20260226_110122-pos__0000647_d01,VID_20260226_110122-pos/0000647.jpeg,2473,313,3315,846,0.9321285486221312,93300000139,hdSign,5.248237267467,2894,580,POINT Z (117.36466040719304 40.016323329030556 12.835),POINT Z (117.36475339799357 40.01644003661787 18.93171630518166)
VID_20260226_110122-pos__0000647_d02,VID_20260226_110122-pos/0000647.jpeg,3007,191,3292,316,0.3603439331054687,93300000141,hdSign,5.248237267467,3150,254,POINT Z (117.36466040719304 40.016323329030556 12.835),POINT Z (117.36477421919444 40.01643866865043 21.02542330775497)
VID_20260226_110122-pos__0000647_d03,VID_20260226_110122-pos/0000647.jpeg,3483,1092,3800,1569,0.4849007725715637,93300000142,hdSign,5.248237267467,3642,1331,POINT Z (117.36466040719304 40.016323329030556 12.835),POINT Z (117.36480516093711 40.016435323343885 13.883684954222508)
VID_20260226_110122-pos__0000647_d04,VID_20260226_110122-pos/0000647.jpeg,3504,616,3768,1099,0.5635755062103271,93300000143,hdSign,5.248237267467,3636,858,POINT Z (117.36466040719304 40.016323329030556 12.835),POINT Z (117.36480680148807 40.0164351058716 16.944410978448577)
VID_20260226_110122-pos__0000675_d00,VID_20260226_110122-pos/0000675.jpeg,2539,928,2967,1196,0.7951416373252869,93300000163,hdSign,1.724743652346,2753,1062,POINT Z (117.36486678665096 40.01904545521527 10.762),POINT Z (117.36500892937394 40.01925329393489 15.996722794858135)
VID_20260226_110122-pos__0000675_d02,VID_20260226_110122-pos/0000675.jpeg,3073,1262,3206,1510,0.4027641713619232,93300000165,hdSign,1.724743652346,3140,1386,POINT Z (117.36486678665096 40.01904545521527 10.762),POINT Z (117.36506282724046 40.01924786505097 11.717318599100837)
VID_20260226_110122-pos__0000694_d01,VID_20260226_110122-pos/0000694.jpeg,2011,1047,2222,1256,0.7810177803039551,93300000170,hdSign,359.387365635548,2117,1152,POINT Z (117.36489865323841 40.02062487513793 11.308),POINT Z (117.36494432204267 40.020892486646844 16.961994048381115)
VID_20260226_110122-pos__0000694_d02,VID_20260226_110122-pos/0000694.jpeg,2388,1031,2601,1240,0.8565149307250977,93300000172,hdSign,359.387365635548,2495,1136,POINT Z (117.36489865323841 40.02062487513793 11.308),POINT Z (117.365019072365 40.02089035460636 16.96199725143806)
VID_20260226_110122-pos__0000695_d00,VID_20260226_110122-pos/0000695.jpeg,2070,882,2373,1180,0.8348357081413269,93300000170,hdSign,359.304223373626,2222,1031,POINT Z (117.36489751417815 40.020697034267336 11.361),POINT Z (117.36494432204267 40.020892486646844 16.961994048381115)
VID_20260226_110122-pos__0000695_d01,VID_20260226_110122-pos/0000695.jpeg,2603,859,2913,1157,0.7770106792449951,93300000172,hdSign,359.304223373626,2758,1008,POINT Z (117.36489751417815 40.020697034267336 11.361),POINT Z (117.365019072365 40.02089035460636 16.96199725143806)
VID_20260226_110122-pos__0000696_d00,VID_20260226_110122-pos/0000696.jpeg,2198,379,2461,503,0.5193394422531128,93300000171,hdSign,359.333032484134,2330,441,POINT Z (117.36489633639103 40.02076966425963 11.423),POINT Z (117.36493349375243 40.02089288913678 19.16408128171435)
VID_20260226_110122-pos__0000696_d01,VID_20260226_110122-pos/0000696.jpeg,2204,475,2749,992,0.9181159734725952,93300000170,hdSign,359.333032484134,2477,734,POINT Z (117.36489633639103 40.02076966425963 11.423),POINT Z (117.36494432204267 40.020892486646844 16.961994048381115)
VID_20260226_110122-pos__0000696_d02,VID_20260226_110122-pos/0000696.jpeg,2769,954,3171,1623,0.5470377802848816,93300000173,hdSign,359.333032484134,2970,1289,POINT Z (117.36489633639103 40.02076966425963 11.423),POINT Z (117.36498130974611 40.020891015569276 13.026378088838873)
VID_20260226_110122-pos__0000696_d03,VID_20260226_110122-pos/0000696.jpeg,3139,419,3697,952,0.8945026397705078,93300000172,hdSign,359.333032484134,3418,686,POINT Z (117.36489633639103 40.02076966425963 11.423),POINT Z (117.365019072365 40.02089035460636 16.96199725143806)
VID_20260226_110122-pos__0000747_d00,VID_20260226_110122-pos/0000747.jpeg,2256,1142,2523,1407,0.3452837467193603,93300000183,hdSign,357.323369234439,2390,1275,POINT Z (117.3647320854713 40.02482554454002 14.688),POINT Z (117.36474219375272 40.024632300790294 18.427137658366373)
VID_20260226_110122-pos__0000747_d01,VID_20260226_110122-pos/0000747.jpeg,2260,1408,2381,1530,0.3227246105670929,93300000176,hdSign,357.323369234439,2321,1469,POINT Z (117.3647320854713 40.02482554454002 14.688),POINT Z (117.36480355847732 40.02510774985333 14.980134470513041)
VID_20260226_110122-pos__0000748_d00,VID_20260226_110122-pos/0000748.jpeg,2437,989,2831,1388,0.8343876600265503,93300000183,hdSign,357.30266116894,2634,1189,POINT Z (117.36472706237646 40.02490756642833 14.658),POINT Z (117.36474219375272 40.024632300790294 18.427137658366373)
VID_20260226_110122-pos__0000748_d01,VID_20260226_110122-pos/0000748.jpeg,2444,1387,2615,1560,0.5464445948600769,93300000176,hdSign,357.30266116894,2530,1474,POINT Z (117.36472706237646 40.02490756642833 14.658),POINT Z (117.36480355847732 40.02510774985333 14.980134470513041)
VID_20260226_110122-pos__0000749_d00,VID_20260226_110122-pos/0000749.jpeg,2963,551,3708,1331,0.7189138531684875,93300000175,hdSign,357.298740510376,3336,941,POINT Z (117.36472202195517 40.02498969789584 14.623),POINT Z (117.36481926954845 40.025109411922664 18.177142061509375)
VID_20260226_110122-pos__0000749_d01,VID_20260226_110122-pos/0000749.jpeg,2977,1326,3306,1661,0.4512145817279815,93300000176,hdSign,357.298740510376,3142,1494,POINT Z (117.36472202195517 40.02498969789584 14.623),POINT Z (117.36480355847732 40.02510774985333 14.980134470513041)
VID_20260226_110122-pos__0001332_d00,VID_20260226_110122-pos/0001332.jpeg,2073,1208,2219,1348,0.7853021621704102,93300000699,hdSign,176.264156991391,2146,1278,POINT Z (117.3643356845103 40.02883046400022 13.141),POINT Z (117.36434066421496 40.02771384875171 17.76323065464003)
VID_20260226_110122-pos__0001332_d01,VID_20260226_110122-pos/0001332.jpeg,2325,1193,2473,1336,0.8899927735328674,93300000696,hdSign,176.264156991391,2399,1265,POINT Z (117.3643356845103 40.02883046400022 13.141),POINT Z (117.36424653689959 40.02843565772009 18.3880495339625)
VID_20260226_110122-pos__0001333_d00,VID_20260226_110122-pos/0001333.jpeg,2076,1169,2247,1330,0.65153568983078,93300000695,hdSign,176.332824180484,2162,1250,POINT Z (117.36434012556369 40.02877719597434 13.115),POINT Z (117.3643204464331 40.028438153794255 18.21170073627724)
VID_20260226_110122-pos__0001333_d02,VID_20260226_110122-pos/0001333.jpeg,2372,1152,2542,1312,0.8615896105766296,93300000696,hdSign,176.332824180484,2457,1232,POINT Z (117.36434012556369 40.02877719597434 13.115),POINT Z (117.36424653689959 40.02843565772009 18.3880495339625)
VID_20260226_110122-pos__0001334_d00,VID_20260226_110122-pos/0001334.jpeg,2089,1104,2292,1305,0.800400972366333,93300000695,hdSign,176.696195693644,2191,1205,POINT Z (117.36434452115718 40.0287227904212 13.086),POINT Z (117.3643204464331 40.028438153794255 18.21170073627724)
VID_20260226_110122-pos__0001334_d01,VID_20260226_110122-pos/0001334.jpeg,2447,1084,2651,1284,0.8549867272377014,93300000696,hdSign,176.696195693644,2549,1184,POINT Z (117.36434452115718 40.0287227904212 13.086),POINT Z (117.36424653689959 40.02843565772009 18.3880495339625)
VID_20260226_110122-pos__0001335_d00,VID_20260226_110122-pos/0001335.jpeg,2111,1007,2371,1260,0.8342423439025879,93300000695,hdSign,176.990252101034,2241,1134,POINT Z (117.36434868355136 40.028667250645356 13.048),POINT Z (117.3643204464331 40.028438153794255 18.21170073627724)
VID_20260226_110122-pos__0001335_d01,VID_20260226_110122-pos/0001335.jpeg,2564,978,2828,1235,0.8287071585655212,93300000696,hdSign,176.990252101034,2696,1107,POINT Z (117.36434868355136 40.028667250645356 13.048),POINT Z (117.36424653689959 40.02843565772009 18.3880495339625)
VID_20260226_110122-pos__0001336_d00,VID_20260226_110122-pos/0001336.jpeg,2143,852,2496,1192,0.7928489446640015,93300000695,hdSign,177.356567427599,2320,1022,POINT Z (117.36435251121144 40.02861059918815 13.006),POINT Z (117.3643204464331 40.028438153794255 18.21170073627724)
VID_20260226_110122-pos__0001336_d01,VID_20260226_110122-pos/0001336.jpeg,2580,1117,2708,1453,0.559160053730011,93300000697,hdSign,177.356567427599,2644,1285,POINT Z (117.36435251121144 40.02861059918815 13.006),POINT Z (117.36428283166876 40.02843727516039 15.325167497881724)
VID_20260226_110122-pos__0001336_d02,VID_20260226_110122-pos/0001336.jpeg,2592,1538,2719,1644,0.3760393559932709,93300000698,hdSign,177.356567427599,2656,1591,POINT Z (117.36435251121144 40.02861059918815 13.006),POINT Z (117.36428269367934 40.02843727365857 12.542532553896146)
VID_20260226_110122-pos__0001336_d03,VID_20260226_110122-pos/0001336.jpeg,2752,810,3118,1157,0.7350334525108337,93300000696,hdSign,177.356567427599,2935,984,POINT Z (117.36435251121144 40.02861059918815 13.006),POINT Z (117.36424653689959 40.02843565772009 18.3880495339625)
VID_20260226_110122-pos__0001337_d00,VID_20260226_110122-pos/0001337.jpeg,2225,473,2799,1033,0.9187473654747008,93300000695,hdSign,177.472848992291,2512,753,POINT Z (117.36435583182383 40.028552761274675 12.968),POINT Z (117.3643204464331 40.028438153794255 18.21170073627724)
VID_20260226_110122-pos__0001337_d01,VID_20260226_110122-pos/0001337.jpeg,2938,901,3151,1446,0.5844590067863464,93300000697,hdSign,177.472848992291,3045,1174,POINT Z (117.36435583182383 40.028552761274675 12.968),POINT Z (117.36428283166876 40.02843727516039 15.325167497881724)
VID_20260226_110122-pos__0001337_d02,VID_20260226_110122-pos/0001337.jpeg,2951,1441,3179,1770,0.3335462510585785,93300000698,hdSign,177.472848992291,3065,1606,POINT Z (117.36435583182383 40.028552761274675 12.968),POINT Z (117.36428269367934 40.02843727365857 12.542532553896146)
VID_20260226_110122-pos__0001337_d03,VID_20260226_110122-pos/0001337.jpeg,3217,387,3828,967,0.9092960357666016,93300000696,hdSign,177.472848992291,3523,677,POINT Z (117.36435583182383 40.028552761274675 12.968),POINT Z (117.36424653689959 40.02843565772009 18.3880495339625)
VID_20260226_110122-pos__0001794_d00,VID_20260226_110122-pos/0001794.jpeg,2038,1179,2206,1343,0.83876633644104,93300000403,hdSign,173.762290731826,2122,1261,POINT Z (117.36138333992903 39.98882860128803 6.129),POINT Z (117.36138736929577 39.98849224332043 11.247170562939921)
VID_20260226_110122-pos__0001794_d02,VID_20260226_110122-pos/0001794.jpeg,2334,1172,2513,1336,0.7926009893417358,93300000404,hdSign,173.762290731826,2424,1254,POINT Z (117.36138333992903 39.98882860128803 6.129),POINT Z (117.36131314500098 39.988489298104646 11.247173718260576)
VID_20260226_110122-pos__0001795_d00,VID_20260226_110122-pos/0001795.jpeg,2068,1077,2293,1296,0.82334965467453,93300000403,hdSign,173.72985916604,2181,1187,POINT Z (117.36139461533077 39.98874961525474 6.11),POINT Z (117.36138736929577 39.98849224332043 11.247170562939921)
VID_20260226_110122-pos__0001795_d01,VID_20260226_110122-pos/0001795.jpeg,2468,1067,2705,1288,0.8146465420722961,93300000404,hdSign,173.72985916604,2587,1178,POINT Z (117.36139461533077 39.98874961525474 6.11),POINT Z (117.36131314500098 39.988489298104646 11.247173718260576)
VID_20260226_110122-pos__0001796_d00,VID_20260226_110122-pos/0001796.jpeg,2124,870,2475,1205,0.8295360803604126,93300000403,hdSign,173.78395452112,2300,1038,POINT Z (117.36140594855024 39.9886704870083 6.074),POINT Z (117.36138736929577 39.98849224332043 11.247170562939921)
VID_20260226_110122-pos__0001796_d01,VID_20260226_110122-pos/0001796.jpeg,2556,1196,2676,1544,0.348197191953659,93300000406,hdSign,173.78395452112,2616,1370,POINT Z (117.36140594855024 39.9886704870083 6.074),POINT Z (117.3613502115891 39.98849106252719 7.799629527968569)
VID_20260226_110122-pos__0001796_d03,VID_20260226_110122-pos/0001796.jpeg,2740,841,3118,1188,0.7200412154197693,93300000404,hdSign,173.78395452112,2929,1015,POINT Z (117.36140594855024 39.9886704870083 6.074),POINT Z (117.36131314500098 39.988489298104646 11.247173718260576)
VID_20260226_110122-pos__0001797_d00,VID_20260226_110122-pos/0001797.jpeg,2296,190,3057,912,0.943462610244751,93300000403,hdSign,173.805077397174,2677,551,POINT Z (117.361417154319 39.98859107753947 6.041),POINT Z (117.36138736929577 39.98849224332043 11.247170562939921)
VID_20260226_110122-pos__0001797_d01,VID_20260226_110122-pos/0001797.jpeg,3242,875,3543,1607,0.7337422370910645,93300000406,hdSign,173.805077397174,3393,1241,POINT Z (117.361417154319 39.98859107753947 6.041),POINT Z (117.3613502115891 39.98849106252719 7.799629527968569)
VID_20260226_110122-pos__0001797_d02,VID_20260226_110122-pos/0001797.jpeg,3282,1606,3538,1696,0.5978110432624817,93300000408,hdSign,173.805077397174,3410,1651,POINT Z (117.361417154319 39.98859107753947 6.041),POINT Z (117.36134993418682 39.98849082820593 5.828492370793369)
VID_20260226_110122-pos__0001848_d00,VID_20260226_110122-pos/0001848.jpeg,2058,1064,2356,1302,0.6408466100692749,93300000436,hdSign,181.366997768259,2207,1183,POINT Z (117.36161389764693 39.984777075239826 7.75),POINT Z (117.36155570961581 39.98448843468767 13.660244619977322)
VID_20260226_110122-pos__0001848_d03,VID_20260226_110122-pos/0001848.jpeg,2359,1361,2472,1522,0.6223402619361877,93300000703,hdSign,181.366997768259,2416,1442,POINT Z (117.36161389764693 39.984777075239826 7.75),POINT Z (117.3615122434404 39.98448683139169 8.742525989530192)
VID_20260226_110122-pos__0001849_d01,VID_20260226_110122-pos/0001849.jpeg,2075,919,2489,1241,0.8510072231292725,93300000436,hdSign,181.379761193576,2282,1080,POINT Z (117.3616115992493 39.98470367024575 7.817),POINT Z (117.36155570961581 39.98448843468767 13.660244619977322)
VID_20260226_110122-pos__0001849_d04,VID_20260226_110122-pos/0001849.jpeg,2491,1322,2652,1546,0.739425539970398,93300000703,hdSign,181.379761193576,2572,1434,POINT Z (117.3616115992493 39.98470367024575 7.817),POINT Z (117.3615122434404 39.98448683139169 8.742525989530192)
VID_20260226_110122-pos__0001850_d00,VID_20260226_110122-pos/0001850.jpeg,2118,597,2781,1109,0.9342032670974731,93300000436,hdSign,181.657259901853,2450,853,POINT Z (117.36160910482637 39.98462988871628 7.872),POINT Z (117.36155570961581 39.98448843468767 13.660244619977322)
VID_20260226_110122-pos__0001850_d01,VID_20260226_110122-pos/0001850.jpeg,2527,481,2761,599,0.394571304321289,93300000438,hdSign,181.657259901853,2644,540,POINT Z (117.36160910482637 39.98462988871628 7.872),POINT Z (117.3615354016083 39.98448768858736 16.353986112335388)
VID_20260226_110122-pos__0001850_d02,VID_20260226_110122-pos/0001850.jpeg,2780,1241,3062,1605,0.6412572264671326,93300000703,hdSign,181.657259901853,2921,1423,POINT Z (117.36160910482637 39.98462988871628 7.872),POINT Z (117.3615122434404 39.98448683139169 8.742525989530192)
VID_20260226_110122-pos__0001868_d00,VID_20260226_110122-pos/0001868.jpeg,2258,1298,2458,1465,0.6329036951065063,93300000707,hdSign,183.858812223313,2358,1382,POINT Z (117.3615185077322 39.9832578214212 8.737),POINT Z (117.361394138304 39.98293247847701 10.931380791919159)
VID_20260226_110122-pos__0001868_d01,VID_20260226_110122-pos/0001868.jpeg,2913,1282,3114,1476,0.3673409819602966,93300000706,hdSign,183.858812223313,3014,1379,POINT Z (117.3615185077322 39.9832578214212 8.737),POINT Z (117.36143534499858 39.98315042733463 9.756381570237023)
VID_20260226_110122-pos__0001913_d00,VID_20260226_110122-pos/0001913.jpeg,1996,1097,2275,1318,0.7765161991119385,93300000711,hdSign,190.195123339367,2136,1208,POINT Z (117.36092315642672 39.979651706697084 8.487),POINT Z (117.36081277866806 39.979345720872665 13.989122478801017)
VID_20260226_110122-pos__0001913_d02,VID_20260226_110122-pos/0001913.jpeg,2284,1356,2388,1510,0.6450530886650085,93300000713,hdSign,190.195123339367,2336,1433,POINT Z (117.36092315642672 39.979651706697084 8.487),POINT Z (117.36076933122617 39.97935442295529 9.31918800801885)
VID_20260226_110122-pos__0001914_d00,VID_20260226_110122-pos/0001914.jpeg,1998,951,2387,1262,0.8836556673049927,93300000711,hdSign,190.367991337397,2193,1107,POINT Z (117.36090404078071 39.97957118160204 8.453),POINT Z (117.36081277866806 39.979345720872665 13.989122478801017)
VID_20260226_110122-pos__0001914_d02,VID_20260226_110122-pos/0001914.jpeg,2400,1315,2553,1529,0.7244712710380554,93300000713,hdSign,190.367991337397,2477,1422,POINT Z (117.36090404078071 39.97957118160204 8.453),POINT Z (117.36076933122617 39.97935442295529 9.31918800801885)
VID_20260226_110122-pos__0001915_d00,VID_20260226_110122-pos/0001915.jpeg,1997,615,2656,1146,0.93438720703125,93300000711,hdSign,190.758259782059,2327,881,POINT Z (117.36088489748464 39.979490860662985 8.45),POINT Z (117.36081277866806 39.979345720872665 13.989122478801017)
VID_20260226_110122-pos__0001915_d01,VID_20260226_110122-pos/0001915.jpeg,2398,496,2641,631,0.3430603444576263,93300000712,hdSign,190.758259782059,2520,564,POINT Z (117.36088489748464 39.979490860662985 8.45),POINT Z (117.3607931784668 39.9793496896025 16.667417242672016)
VID_20260226_110122-pos__0001915_d02,VID_20260226_110122-pos/0001915.jpeg,2669,1218,2948,1587,0.6373469233512878,93300000713,hdSign,190.758259782059,2809,1403,POINT Z (117.36088489748464 39.979490860662985 8.45),POINT Z (117.36076933122617 39.97935442295529 9.31918800801885)
VID_20260226_110122-pos__0001931_d01,VID_20260226_110122-pos/0001931.jpeg,2565,1099,2758,1401,0.5251542925834656,93300000667,hdSign,193.00340405727,2662,1250,POINT Z (117.36054343367992 39.97825337335954 8.22),POINT Z (117.360478499576 39.97825698119 6.963409283655)
VID_20260226_110122-pos__0001932_d01,VID_20260226_110122-pos/0001932.jpeg,3094,1390,3327,1667,0.4151282906532287,93300000830,hdSign,193.260440885289,3211,1529,POINT Z (117.36052040455019 39.97817738713537 8.209),POINT Z (117.360409058326 39.978088218026926 8.230886126823492)
VID_20260226_110122-pos__0001932_d02,VID_20260226_110122-pos/0001932.jpeg,3182,688,3655,1344,0.8434330224990845,93300000728,hdSign,193.260440885289,3419,1016,POINT Z (117.36052040455019 39.97817738713537 8.209),POINT Z (117.36041392354484 39.978101359472824 10.745133769815029)
VID_20260226_110122-pos__0002047_d00,VID_20260226_110122-pos/0002047.jpeg,1911,923,2324,1248,0.939076840877533,93300000788,hdSign,192.051173893619,2118,1086,POINT Z (117.35752952140648 39.96896895282219 9.375),POINT Z (117.3574344334486 39.96876302424307 14.852704484868353)
VID_20260226_110122-pos__0002047_d02,VID_20260226_110122-pos/0002047.jpeg,2329,1328,2487,1557,0.6378883123397827,93300000791,hdSign,192.051173893619,2408,1443,POINT Z (117.35752952140648 39.96896895282219 9.375),POINT Z (117.35739168132709 39.96877030981655 9.978257585711066)
VID_20260226_110122-pos__0002048_d00,VID_20260226_110122-pos/0002048.jpeg,1931,470,2686,1065,0.9467039108276368,93300000788,hdSign,191.98512299242,2309,768,POINT Z (117.35750589464153 39.96888356174211 9.263),POINT Z (117.3574344334486 39.96876302424307 14.852704484868353)
VID_20260226_110122-pos__0002048_d01,VID_20260226_110122-pos/0002048.jpeg,2404,330,2675,471,0.4962092638015747,93300000790,hdSign,191.98512299242,2540,401,POINT Z (117.35750589464153 39.96888356174211 9.263),POINT Z (117.35741501084975 39.96876579714878 17.487007116072114)
VID_20260226_110122-pos__0002048_d02,VID_20260226_110122-pos/0002048.jpeg,2686,1211,3002,1636,0.6008498072624207,93300000791,hdSign,191.98512299242,2844,1424,POINT Z (117.35750589464153 39.96888356174211 9.263),POINT Z (117.35739168132709 39.96877030981655 9.978257585711066)
